symbol_dir,report_file,rel_path,inferred_date,date_source,confidence,file_birthtime
2367HK,巨子生物_2367HK_投资分析报告.md,2367HK/巨子生物_2367HK_投资分析报告.md,2026-05-04,内容-元数据完整日期,high,2026-05-04 08:32:50
300015,爱尔眼科_稳健投资策略分析报告.md,300015/爱尔眼科_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:36:13
300045,华力创通_稳健投资策略分析报告.md,300045/华力创通_稳健投资策略分析报告.md,2026-04-30,内容-元数据完整日期,high,2026-05-02 20:57:35
300146,汤臣倍健_稳健投资策略分析报告.md,300146/汤臣倍健_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:15:44
300433,蓝思科技_稳健投资策略分析报告.md,300433/蓝思科技_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:51:45
300498,温氏股份_稳健投资策略分析报告_20260428.md,300498/温氏股份_稳健投资策略分析报告_20260428.md,2026-04-28,文件名-完整日期,high,2026-04-28 11:33:46
300573,兴齐眼药_稳健投资策略分析报告.md,300573/兴齐眼药_稳健投资策略分析报告.md,2026-04-22,内容-元数据完整日期,high,2026-04-22 22:20:51
300616,尚品宅配_稳健投资策略分析报告.md,300616/尚品宅配_稳健投资策略分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:39:16
300627,华测导航_稳健投资策略分析报告.md,300627/华测导航_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 22:06:26
300628,亿联网络_稳健投资策略分析报告.md,300628/亿联网络_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:19:05
300737,科顺股份_投资分析报告.md,300737/科顺股份_投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 01:13:00
300760,迈瑞医疗_稳健投资策略分析报告.md,300760/迈瑞医疗_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 22:24:40
300770,投资分析报告.md,300770/投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:06:44
300770,新媒股份_稳健投资策略分析报告.md,300770/新媒股份_稳健投资策略分析报告.md,2026-05-05,内容-元数据完整日期,high,2026-05-05 11:25:05
300896,爱美客_稳健投资策略分析报告.md,300896/爱美客_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:47:56
300979,华利集团_稳健投资策略分析报告.md,300979/华利集团_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:13:21
300979,华利集团_稳健投资策略分析报告_20260507.md,300979/华利集团_稳健投资策略分析报告_20260507.md,2026-05-07,文件名-完整日期,high,2026-05-07 11:27:41
300979_2026Q1,华利集团_稳健投资策略分析报告_2026Q1.md,300979_2026Q1/华利集团_稳健投资策略分析报告_2026Q1.md,2026-03-31,文件名-一季报/Q1,medium,2026-04-29 09:00:26
301004,嘉益股份_稳健投资策略分析报告.md,301004/嘉益股份_稳健投资策略分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:27:36
